Id,Job Id,Title,Applicants,Interview Status,Job Type,Employment Type,Employer,Job Labels,Date Posted,Apply Start Date,Expires,Majors,Cumulative GPA,School Years,Colleges,Qualification Labels,Located In US,Accepts OPT/CPT Candidates,Willing To Sponsor Candidate,Employer Industry,Employer Labels,Job Salary,Salary Type,Job Location,Job Roles
123027190,4018536,High School English Teacher ,0,None,Job,Full-Time,Charlevoix Montessori Academy for the Arts,,2022-09-13 13:50:19 UTC,2020-09-11 19:00:00 UTC,2022-10-07 04:00:00 UTC,"Program Evaluation (Adv Cert), Education (CED - Bachelors), Teaching English to Speakers of Other Languages (CAL - Masters), Education (CED - Masters), Sociology (CSS - Doctorate), History Education (CSS - Bachelors), Higher, Adult, and Lifelong Education (CED - Doctorate), Mathematics Education (CNS - Doctorate), Human Development and Family Studies (CSS - Bachelors), Educational Leadership (CED - Doctorate), Curriculum, Instruction, and Teacher Education (CED - Doctorate), Program Evaluation (CSS - Advanced Certificate), Educational Psychology (CED - Advanced Certificate), Child Development (CSS - Bachelors), School Psychology (CED - Doctorate), Teaching and Curriculum (CED - Masters), Music Education (MUS - Bachelors), Special Education (CED - Masters), Educational Technology (CED - Advanced Certificate), Educational Technology (CED - Masters), Foreign Language Teaching (CAL - Masters), Educational Psychology and Educational Technology (CED - Doctorate), Agriculture, Food and Natural Resources Education (CANR - Bachelors), Interdisciplinary Studies in Social Science: Social Science Education (CSS - Bachelors), Art Education (CAL - Bachelors), Program Evaluation (CSS - Masters), Special Education-Learning Disabilities (CED - Bachelors), Applied Behavior Analysis in Special Education (CED - Advanced Certificate), Biological Science (CNS - Bachelors), Educational Policy (CED - Doctorate), Higher, Adult, and Lifelong Education (CED - Masters), K-12 Educational Administration (CED - Masters), Music Education (MUS - Doctorate), Education Policy (CED - Doctorate), K12 Computer Science Education (CED - Advanced Certificate), Agriculture, Food and Natural Resources Education (CANR - Masters), K-12 Educational Administration (CED - Doctorate), Special Education Leadership: Multi-Tiered Systems of Support (CED - Masters), Biological Science Secondary Education (CNS - Bachelors), Applied Behavior Analysis (CED - Masters), Music Education (MUS - Masters), Special Education (CED - Doctorate), Early Care and Education (CSS - Bachelors), Mathematics (LBC - Bachelors), Child Development (CSS - Masters), Agr & Nat Res - Exploratory (CANR - Bachelors), Science Education (CED - Advanced Certificate), Elementary STEM Education (CED - Advanced Certificate), Mathematics, Advanced (LBC - Bachelors), Special Education Leadership: Multi-Tiered Systems of Support (CED - Advanced Certificate), English Language Learner Education (CED - Advanced Certificate), Applied Behavior Analysis and Autism Spectrum Disorder (CED - Masters), Biological Science Secondary Education (LBC - Bachelors), Education for the Health Professions (CED - Masters), Foreign Language Teaching (CAL - Advanced Certificate), Mathematics Education (CNS - Masters), Physical Science Secondary Education (CNS - Bachelors), Physical Science Secondary Education (LBC - Bachelors), Sociology (CSS - Masters), Teaching in Nursing (NUR - Advanced Certificate)",,Alumni,,,Yes,,,K-12 Education,,33000,Paid,"Charlevoix, Michigan, United States",High School Teachers
232020557,5318449,Software Developer (All Tiers),0,None,Job,Full-Time,Alley,,2022-04-06 16:56:58 UTC,2022-04-06 14:00:00 UTC,2022-10-06 22:00:00 UTC,"Program Evaluation (Adv Cert), Computer Science (EGR - Bachelors), Geographic Information Science (CSS - Bachelors), Computer Science Preference (EGR - Bachelors), Experience Architecture (CAL - Bachelors), Mathematics (CNS - Bachelors), Finance (BUS - Bachelors), Accounting (BUS - Masters), Actuarial Science (CNS - Bachelors), Computational Mathematics (CNS - Bachelors), Media and Information (CAS - Bachelors), Computer Engineering (EGR - Bachelors), Games and Interactive Media (CAS - Bachelors), Computer Engineering Preference (EGR - Bachelors), Computer Science (EGR - Masters), Computational Data Science (EGR - Bachelors), Engineering - Exploratory (EGR - Bachelors), Physics (CNS - Masters), Computer Science (EGR - Doctorate), Program Evaluation (CSS - Advanced Certificate), Accounting (BUS - Bachelors), Physics (CNS - Bachelors), Law Enforcement Intelligence and Analysis (CSS - Masters), Finance (BUS - Masters), Physics (CNS - Doctorate), Astrophysics (CNS - Bachelors), Geography (CSS - Doctorate), Mathematics, Advanced (CNS - Bachelors), Data Science (CNS - Bachelors), Accounting Analytics (BUS - Advanced Certificate), Computational Mathematics, Science, and Engineering (EGR - Doctorate), Program Evaluation (CSS - Masters), Applied Mathematics (CNS - Doctorate), Computer Science (LBC - Bachelors), Computational Data Science Preference (EGR - Bachelors), Strategic Management (BUS - Advanced Certificate), Computational Mathematics, Science, and Engineering (EGR - Masters), Computational Modeling (EGR - Advanced Certificate), Geography (CSS - Masters), Cyber Criminology and Cyber Security (CSS - Advanced Certificate), Applied Statistics (CNS - Masters), Computational Mathematics (LBC - Bachelors), Media Arts and Technology (CAS - Bachelors), Applied Mathematics (CNS - Masters), Accelerator Science and Engineering (CNS - Advanced Certificate), Business Data Science (BUS - Masters), Computational Mathematics, Science, and Engineering (CNS - Doctorate), Computational Mathematics, Science, and Engineering (CNS - Masters), Cybercrime and Digital Investigation (CSS - Masters), Data Science (CNS - Masters), Data Science (LBC - Bachelors), Financial Planning and Wealth Management (BUS - Advanced Certificate), Financial Planning and Wealth Management (BUS - Masters), Professional Accounting (BUS - Masters)",,"Alumni, Postdoctoral Studies, Masters of Business Administration, Doctorate, Masters",,,Yes,,,Internet & Software,ceri21email,,Paid,"New York City, New York, United States",Software Developers and Engineers
248215352,5474461,Horticulture Team,0,None,Job,Full-Time,Caves Valley Golf Club,,2021-10-08 16:21:48 UTC,2021-12-01 21:00:00 UTC,2022-10-07 04:00:00 UTC,"Geographic Information Science (CSS - Bachelors), Environmental Studies and Sustainability (CANR - Bachelors), Horticulture (CANR - Masters), Environmental Biology/Zoology (CNS - Bachelors), Animal Science (CANR - Masters), Environmental Engineering (EGR - Bachelors), Environmental Geography (CSS - Bachelors), Fisheries and Wildlife (CANR - Doctorate), Crop and Soil Sciences (CANR - Bachelors), Fruit and Vegetable Crop Management (CANR - Certificate), Horticulture (CANR - Bachelors), Crop and Soil Sciences (CANR - Doctorate), Horticulture (CANR - Doctorate), Environmental Biology/Plant Biology (CNS - Bachelors), Environmental Economics and Management (CANR - Bachelors), Environmental Engineering Preference (EGR - Bachelors), Geography (CSS - Doctorate), Fisheries and Wildlife (CANR - Bachelors), Environmental Geosciences (CNS - Bachelors), Forest Carbon Science, Policy and Management (CANR - Advanced Certificate), Plant Breeding, Genetics and Biotechnology-Horticulture (CANR - Doctorate), Community Sustainability (CANR - Masters), Landscape Management (CANR - Certificate), Forestry (CANR - Doctorate), Fisheries and Wildlife (CANR - Masters), Entomology (CANR - Masters), Environmental Sciences and Management (LBC - Bachelors), Sustainable Parks, Recreation and Tourism (CANR - Bachelors), Fruit, Vegetable, and Organic Horticulture (CANR - Certificate), Crop and Soil Sciences (CANR - Masters), Community Sustainability (CANR - Doctorate), Environmental and Social System Modeling (CSS - Advanced Certificate), Geological Sciences (CNS - Bachelors), Landscape Architecture (CANR - Bachelors), Forestry (CANR - Bachelors), Environmental Engineering (EGR - Masters), Plant Biology (CNS - Bachelors), Plant Biology (LBC - Bachelors), Turfgrass Management-Golf (CANR - Certificate), Plant Breeding, Genetics and Biotechnology-Crop and Soil Sciences (CANR - Masters), Plant Biology (CNS - Doctorate), Plant Pathology (CANR - Doctorate), Plant Breeding, Genetics and Biotechnology-Plant Biology (CANR - Doctorate), Forestry (CANR - Masters), Entomology (CANR - Bachelors), Plant Breeding, Genetics and Biotechnology-Crop and Soil Sciences (CANR - Doctorate), Environmental Geosciences (LBC - Bachelors), Entomology (CANR - Doctorate), Environmental Biology/Zoology (LBC - Bachelors), Plant Pathology (CANR - Masters), Geological Sciences (CNS - Masters), Earth and Environmental Sciences (CNS - Doctorate), Landscape and Nursery Management (CANR - Certificate), Environmental Biology/Plant Biology (LBC - Bachelors), Animal Science (CANR - Doctorate), Environmental Biology/Microbiology (LBC - Bachelors), Geography (CSS - Masters), Geological Sciences (CNS - Doctorate), Environmental Biology/Microbiology (CNS - Bachelors), Sports and Commercial Turf Mgt (CANR - Certificate), Sustainable Tourism and Protected Area Management (CANR - Masters), Environmental Geosciences (CNS - Masters), Environmental Engineering (EGR - Doctorate), Fisheries and Wildlife (LBC - Bachelors), Sustainable Tourism and Protected Area Management (CANR - Doctorate), Geological Sciences (LBC - Bachelors), Plant Biology (CNS - Masters), Crop and Soil Sciences-Environmental Toxicology (CANR - Doctorate), Environmental Studies and Agriscience (CANR - Bachelors), Environmental Economics and Policy (CANR - Bachelors), Environmental Geosciences (CNS - Doctorate), Plant Breeding, Genetics and Biotechnology-Plant Biology (CANR - Masters), Earth Science (CNS - Bachelors), Park, Recreation and Tourism Resources (CANR - Bachelors), Genetics-Environmental Toxicology (CNS - Doctorate), Forestry-Environmental Toxicology (CANR - Doctorate), Plant Breeding, Genetics and Biotechnology-Horticulture (CANR - Masters), Community, Agriculture, Recreation and Resource Studies (CANR - Doctorate), Community, Agriculture, Recreation and Resource Studies (CANR - Masters), Earth Science (LBC - Bachelors), Environmental Geosciences-Environmental Toxicology (CNS - Doctorate), Forestry (LBC - Bachelors), Integrative Biology-Environmental Toxicology (CNS - Doctorate), International Planning Studies (CSS - Masters), Landscape and Nursery (CANR - Certificate), Natural Resource Recreation and Tourism (CANR - Bachelors), Plant Breeding, Genetics and Biotechnology-Forestry (CANR - Doctorate), Plant Breeding, Genetics and Biotechnology-Forestry (CANR - Masters), Zoology-Environmental Toxicology (CNS - Doctorate), Fruit & Vegetable Crop Mgt (CANR - Certificate)",,,,,Yes,Yes,,Sports & Leisure,,,Paid,"Owings Mills, Maryland, United States","Landscape Architects, Soil and Plant Scientists, Building and Grounds Cleaning and Maintenance Workers"
338203524,6272124,Children's Support Coordinator,0,None,Job,Full-Time,"Spectrum Human Services, Inc.",,2022-04-01 17:40:17 UTC,2022-04-01 17:00:00 UTC,2022-10-06 19:45:00 UTC,"Program Evaluation (Adv Cert), Psychology (CSS - Bachelors), Neuroscience (CNS - Bachelors), Education (CED - Bachelors), James Madison-No Major (MC - Bachelors), Global and International Studies in Social Science (CSS - Bachelors), Teaching English to Speakers of Other Languages (CAL - Masters), Education (CED - Masters), Sociology (CSS - Doctorate), Teaching and Learning in Postsecondary Education (CED - Advanced Certificate), Music Performance (MUS - Doctorate), History Education (CSS - Bachelors), Social Relations and Policy (MC - Bachelors), Interdisciplinary Studies in Social Science (CSS - Bachelors), Higher, Adult, and Lifelong Education (CED - Doctorate), Clinical Social Work (CSS - Masters), Mathematics Education (CNS - Doctorate), Social Work (CSS - Bachelors), Neuroscience (LBC - Bachelors), Human Development and Family Studies (CSS - Bachelors), Arts and Humanities (RCAH - Bachelors), Student Affairs Administration (CED - Masters), Educational Leadership (CED - Doctorate), Curriculum, Instruction, and Teacher Education (CED - Doctorate), Program Evaluation (CSS - Advanced Certificate), Human Development and Family Studies (CSS - Doctorate), Youth Development Specialist (CSS - Advanced Certificate), Sociology (CSS - Bachelors), Educational Psychology (CED - Advanced Certificate), Human Development and Family Studies (CSS - Masters), Child Development (CSS - Bachelors), School Psychology (CED - Doctorate), Teaching and Curriculum (CED - Masters), Chicano/Latino Studies (CSS - Doctorate), Psychology (CSS - Doctorate), Music Education (MUS - Bachelors), Organization and Community Leadership (CSS - Masters), Measurement and Quantitative Methods (CED - Doctorate), Anthropology (CSS - Doctorate), Special Education (CED - Masters), Public Policy (CSS - Bachelors), Educational Technology (CED - Advanced Certificate), Educational Technology (CED - Masters), Foreign Language Teaching (CAL - Masters), Educational Psychology and Educational Technology (CED - Doctorate), Agriculture, Food and Natural Resources Education (CANR - Bachelors), Anthropology (CSS - Bachelors), Youth Development (CSS - Masters), Social Work (CSS - Doctorate), Women's and Gender Studies (CAL - Bachelors), Interdisciplinary Studies in Social Science: Social Science Education (CSS - Bachelors), Art Education (CAL - Bachelors), Program Evaluation (CSS - Masters), Special Education-Learning Disabilities (CED - Bachelors), Applied Behavior Analysis in Special Education (CED - Advanced Certificate), Biological Science (CNS - Bachelors), Family Community Services (CSS - Masters), Rehabilitation Counseling (CED - Masters), History, Philosophy and Sociology of Science (LBC - Bachelors), Educational Policy (CED - Doctorate), Higher, Adult, and Lifelong Education (CED - Masters), Critical Studies in Literacy and Pedagogy (CAL - Masters), Rehabilitation Counselor Education (CED - Doctorate), K-12 Educational Administration (CED - Masters), Music Education (MUS - Doctorate), Education Policy (CED - Doctorate), K12 Computer Science Education (CED - Advanced Certificate), Agriculture, Food and Natural Resources Education (CANR - Masters), K-12 Educational Administration (CED - Doctorate), Special Education Leadership: Multi-Tiered Systems of Support (CED - Masters), Musicology (MUS - Masters), Biological Science Secondary Education (CNS - Bachelors), Applied Behavior Analysis (CED - Masters), Music Education (MUS - Masters), Special Education (CED - Doctorate), Religious Studies (CAL - Bachelors), Early Care and Education (CSS - Bachelors), Mathematics (LBC - Bachelors), Child Development (CSS - Masters), Agr & Nat Res - Exploratory (CANR - Bachelors), Science Education (CED - Advanced Certificate), Chicano/Latino Studies (CSS - Advanced Certificate), Elementary STEM Education (CED - Advanced Certificate), Mathematics, Advanced (LBC - Bachelors), Special Education Leadership: Multi-Tiered Systems of Support (CED - Advanced Certificate), Youth Program Management and Evaluation (CSS - Advanced Certificate), Psychology (CSS - Masters), English Language Learner Education (CED - Advanced Certificate), Global Studies in the Arts and Humanities (CAL - Advanced Certificate), Anthropology (CSS - Masters), Applied Behavior Analysis and Autism Spectrum Disorder (CED - Masters), Biological Science Secondary Education (LBC - Bachelors), Foreign Language Teaching (CAL - Advanced Certificate), Interdisciplinary Studies in Social Science-Public Policy (CSS - Bachelors), Mathematics Education (CNS - Masters), Nonprofit Leadership, Global Cultures, and Social Enterprise (CAL - Masters), Organizational and Community Practice (CSS - Masters), Physical Science Secondary Education (CNS - Bachelors), Physical Science Secondary Education (LBC - Bachelors), Public Administration and Public Policy (CSS - Bachelors), School Psychology (CED - Masters), Sociology (CSS - Masters)",,"Senior, Masters",,,Yes,Yes,Yes,Social Assistance,ceri21email,17,Paid,"Grand Rapids, Michigan, United States",
382360464,6618347,Software Developer,2,None,Job,Full-Time,ZT Systems,,2022-06-24 15:37:03 UTC,2022-06-24 04:00:00 UTC,2022-10-07 04:00:00 UTC,"Mechanical Engineering (EGR - Doctorate), Computer Science (EGR - Bachelors), Mechanical Engineering (EGR - Bachelors), Electrical and Computer Engineering (EGR - Masters), Mechanical Engineering (EGR - Masters), Mechanical Engineering Preference (EGR - Bachelors), Electrical Engineering (EGR - Doctorate), Electrical and Computer Engineering (EGR - Doctorate), Computer Engineering (EGR - Bachelors), Computer Engineering Preference (EGR - Bachelors), Electrical Engineering (EGR - Bachelors), Engineering - Exploratory (EGR - Bachelors), Electrical Engineering Preference (EGR - Bachelors), Computer Science (LBC - Bachelors), Electrical Engineering (EGR - Masters), Physics (LBC - Bachelors), Engineering Mechanics (EGR - Doctorate), Engineering Mechanics (EGR - Masters)",,"Senior, Alumni",,,Yes,Yes,Yes,Electronic & Computer Hardware,ceri21email,,Paid,"Seattle, Washington, United States",Software Developers and Engineers
387304491,6654880,Manufacturing Process Engineer,8,None,Job,Full-Time,Magna International,,2022-07-07 06:59:42 UTC,2022-07-07 06:00:00 UTC,2022-10-06 21:00:00 UTC,,,,,,Yes,,,Automotive,"cf emp 19-22, ceri21email, egr employer newsletter, fair_attendee19-20, fair_attendee18-19, 17-18 hired grad, 15-16 hired grad, 16-17 hired grad",,Paid,"Sterling Heights, Michigan, United States","Chemical Engineers, Automotive Engineers, Manufacturing Engineers"
387810669,6659043,Deputy Director,0,None,Job,Full-Time,Public Citizen,,2022-07-07 21:19:10 UTC,2022-07-07 04:00:00 UTC,2022-10-07 04:00:00 UTC,"Advertising Management (CAS - Bachelors), English (CAL - Bachelors), Experience Architecture (CAL - Bachelors), Global and International Studies in Social Science (CSS - Bachelors), Graphic Design (CAL - Bachelors), Marketing (BUS - Bachelors), Interdisciplinary Humanities (CAL - Bachelors), Media and Information (CAS - Bachelors), Games and Interactive Media (CAS - Bachelors), Journalism (CAS - Bachelors), Theatre (CAL - Bachelors), Communication (CAS - Bachelors), Arts and Humanities (RCAH - Bachelors), Professional Writing (CAL - Bachelors), Digital Rhetoric and Professional Writing (CAL - Masters), Information and Media (CAS - Doctorate), Advertising Creative (CAS - Bachelors), Communication (CAS - Doctorate), Organizational Communication for Leadership (CAS - Advanced Certificate), Strategic Communication (CAS - Masters), Film Studies (CAL - Bachelors), English (CAL - Doctorate), Communication Arts and Sciences-Media and Information Studies (CAS - Doctorate), Women's and Gender Studies (CAL - Bachelors), Media and Information (CAS - Masters), Digital Humanities (CAL - Advanced Certificate), Communication Leadership and Strategy (CAS - Bachelors), Media Analytics (CAS - Advanced Certificate), Professional and Public Writing (CAL - Bachelors), Information Science (CAS - Bachelors), Public Relations (CAS - Bachelors), Journalism (CAS - Masters), Global Studies in the Arts and Humanities (CAL - Bachelors), Advertising (CAS - Masters), Media and Information Studies (CAS - Doctorate), Composition (MUS - Bachelors), Digital Media (CAS - Advanced Certificate), Film Studies (CAL - Advanced Certificate), Advertising and Public Relations (CAS - Masters), Communication (CAS - Masters), Digital Storytelling (CAS - Bachelors), Advertising (CAS - Bachelors), Media Arts and Technology (CAS - Bachelors), Public Relations (CAS - Masters), Journalism (CAS - Advanced Certificate), Global Studies in the Arts and Humanities (CAL - Advanced Certificate), Marketing (BUS - Masters), Telecommunication, Information Studies and Media (CAS - Masters)",,"Masters of Business Administration, Alumni, Doctorate, Masters",,,Yes,Yes,Yes,Non-Profit - Other,ceri21email,,Paid,"Washington, District of Columbia, United States","Producers and Directors, Public Relations Managers"
401805997,6733014,Product Visualization Specialist,0,None,Job,Full-Time,Preformed Line Products,,2022-09-20 15:37:59 UTC,2022-07-28 04:00:00 UTC,2022-10-07 04:00:00 UTC,"Program Evaluation (Adv Cert), Advertising Management (CAS - Bachelors), Computer Science (EGR - Bachelors), Geographic Information Science (CSS - Bachelors), Computer Science Preference (EGR - Bachelors), English (CAL - Bachelors), Experience Architecture (CAL - Bachelors), Mathematics (CNS - Bachelors), Finance (BUS - Bachelors), Accounting (BUS - Masters), Global and International Studies in Social Science (CSS - Bachelors), Graphic Design (CAL - Bachelors), Marketing (BUS - Bachelors), Actuarial Science (CNS - Bachelors), Interdisciplinary Humanities (CAL - Bachelors), Computational Mathematics (CNS - Bachelors), Media and Information (CAS - Bachelors), Computer Engineering (EGR - Bachelors), Games and Interactive Media (CAS - Bachelors), Computer Engineering Preference (EGR - Bachelors), Journalism (CAS - Bachelors), Computer Science (EGR - Masters), Theatre (CAL - Bachelors), Communication (CAS - Bachelors), Arts and Humanities (RCAH - Bachelors), Computational Data Science (EGR - Bachelors), Engineering - Exploratory (EGR - Bachelors), Professional Writing (CAL - Bachelors), Digital Rhetoric and Professional Writing (CAL - Masters), Information and Media (CAS - Doctorate), Physics (CNS - Masters), Computer Science (EGR - Doctorate), Program Evaluation (CSS - Advanced Certificate), Accounting (BUS - Bachelors), Physics (CNS - Bachelors), Law Enforcement Intelligence and Analysis (CSS - Masters), Advertising Creative (CAS - Bachelors), Communication (CAS - Doctorate), Finance (BUS - Masters), Organizational Communication for Leadership (CAS - Advanced Certificate), Strategic Communication (CAS - Masters), Physics (CNS - Doctorate), Astrophysics (CNS - Bachelors), Film Studies (CAL - Bachelors), Geography (CSS - Doctorate), English (CAL - Doctorate), Mathematics, Advanced (CNS - Bachelors), Data Science (CNS - Bachelors), Communication Arts and Sciences-Media and Information Studies (CAS - Doctorate), Women's and Gender Studies (CAL - Bachelors), Accounting Analytics (BUS - Advanced Certificate), Computational Mathematics, Science, and Engineering (EGR - Doctorate), Program Evaluation (CSS - Masters), Media and Information (CAS - Masters), Digital Humanities (CAL - Advanced Certificate), Communication Leadership and Strategy (CAS - Bachelors), Media Analytics (CAS - Advanced Certificate), Applied Mathematics (CNS - Doctorate), Professional and Public Writing (CAL - Bachelors), Computer Science (LBC - Bachelors), Computational Data Science Preference (EGR - Bachelors), Information Science (CAS - Bachelors), Public Relations (CAS - Bachelors), Journalism (CAS - Masters), Global Studies in the Arts and Humanities (CAL - Bachelors), Advertising (CAS - Masters), Strategic Management (BUS - Advanced Certificate), Media and Information Studies (CAS - Doctorate), Composition (MUS - Bachelors), Digital Media (CAS - Advanced Certificate), Film Studies (CAL - Advanced Certificate), Advertising and Public Relations (CAS - Masters), Communication (CAS - Masters), Computational Mathematics, Science, and Engineering (EGR - Masters), Computational Modeling (EGR - Advanced Certificate), Geography (CSS - Masters), Digital Storytelling (CAS - Bachelors), Cyber Criminology and Cyber Security (CSS - Advanced Certificate), Applied Statistics (CNS - Masters), Computational Mathematics (LBC - Bachelors), Advertising (CAS - Bachelors), Media Arts and Technology (CAS - Bachelors), Public Relations (CAS - Masters), Journalism (CAS - Advanced Certificate), Applied Mathematics (CNS - Masters), Global Studies in the Arts and Humanities (CAL - Advanced Certificate), Accelerator Science and Engineering (CNS - Advanced Certificate), Business Data Science (BUS - Masters), Computational Mathematics, Science, and Engineering (CNS - Doctorate), Computational Mathematics, Science, and Engineering (CNS - Masters), Cybercrime and Digital Investigation (CSS - Masters), Data Science (CNS - Masters), Data Science (LBC - Bachelors), Financial Planning and Wealth Management (BUS - Advanced Certificate), Financial Planning and Wealth Management (BUS - Masters), Marketing (BUS - Masters), Professional Accounting (BUS - Masters), Telecommunication, Information Studies and Media (CAS - Masters)",,,,,Yes,,,Manufacturing,ceri21email,,Paid,"Mayfield Village, Ohio, United States",
405121609,6788483,Associate,1,None,Job,Full-Time,Dean & Company,,2022-09-28 18:21:08 UTC,2022-09-28 19:00:00 UTC,2022-10-07 04:00:00 UTC,,,"Masters of Business Administration, Postdoctoral Studies, Alumni, Doctorate",,,Yes,,,Management Consulting,,,Paid,"1600 Tysons Boulevard, McLean, Virginia 22102, United States",
406204567,6795520,"CDA Econ Develop. Council, Talent Pipeline Development VISTA",0,None,Internship,Full-Time,AmeriCorps,,2022-08-04 18:31:08 UTC,2022-08-04 04:00:00 UTC,2022-10-07 04:00:00 UTC,,,,,,Yes,,,Social Assistance,"15-16 hired grad, registered_careereco, ceri21email, cf emp 19-22, 17-18 hired grad, 16-17 hired grad",1350.16,Paid,"Coeur D Alene Avenue, Pinehurst, Idaho 83850, United States",Human Resources Specialists
